,codigo,x,y,tipo,numero
288,849,43399721,448038301,cruces,6
289,849,43399940,448043698,cruces,8
290,852,44814675,447610664,cruces,2
291,852,44816910,447596286,cruces,8
292,852,44819291,447582494,cruces,12
293,853,44804754,447608865,cruces,2
294,853,44802995,447616963,cruces,2
295,853,44807170,447594576,cruces,8
296,853,44808095,447589139,cruces,10
297,853,44809506,447581206,cruces,28
298,854,44795926,447606779,cruces,2
299,854,44798244,447593091,cruces,6
300,854,44799144,447587691,cruces,8
301,855,44807170,447594576,cruces,
302,855,44816910,447596286,cruces,
303,858,44731046,447859264,cruces,10
304,858,44764058,447880447,cruces,48
305,858,44764058,447880447,cruces,48
306,859,44742976,447832898,cruces,1
307,859,44742976,447832898,cruces,1
308,859,44731046,447859264,cruces,1
309,859,44715224,447891290,cruces,15
310,859,44713814,447903039,cruces,21
311,859,44707154,447902564,cruces,23
312,859,44709182,447909243,cruces,25
313,859,44697631,447912646,cruces,31
314,859,44647298,447930205,cruces,71
315,859,44633287,447932831,cruces,81
316,859,44615687,447928277,cruces,87
317,859,44615687,447928277,cruces,87
318,859,44624731,447943887,cruces,95
319,859,44623535,447952055,cruces,97
320,859,44623735,447961857,cruces,99
321,859,44619697,447978787,cruces,105
322,859,44619697,447978787,cruces,105
323,859,44619697,447978787,cruces,105
324,864,44473572,447924325,cruces,2
325,864,44469979,447934049,cruces,12
326,864,44470365,447940051,cruces,12
327,865,43745149,448154011,cruces,62
328,868,44166244,447113597,cruces,3
329,868,44175182,447103099,cruces,13
330,868,44181869,447095388,cruces,21
331,869,44184258,447111080,cruces,16
332,869,44184258,447111080,cruces,16
333,869,44172998,447086421,cruces,46
334,869,44181869,447095388,cruces,58
335,870,44257501,447247565,cruces,10
336,870,44257501,447247565,cruces,10
337,870,44252815,447229453,cruces,18
338,870,44244447,447213896,cruces,22
339,871,44257501,447247565,cruces,1
340,871,44257501,447247565,cruces,1
341,871,44247867,447232624,cruces,5
342,872,44247867,447232624,cruces,2
343,872,44252815,447229453,cruces,2
344,873,44280733,447216419,cruces,14
345,873,44271922,447191657,cruces,24
346,874,44293660,447207238,cruces,2
347,874,44287318,447204740,cruces,4
348,874,44271922,447191657,cruces,10
349,874,44273086,447192846,cruces,10
350,874,44265051,447178017,cruces,12
351,875,44280733,447216419,cruces,2
352,875,44266567,447200910,cruces,18
353,875,44273086,447192846,cruces,20
354,876,44287318,447204740,cruces,3
355,876,44266567,447200910,cruces,7
356,879,43991645,447982523,cruces,1
357,879,43976763,447990364,cruces,39
358,881,43968059,447984084,cruces,2
359,881,43970121,447987685,cruces,8
360,881,43973321,447991414,cruces,18
361,881,43974865,447993417,cruces,26
362,881,43978986,447998395,cruces,34
363,882,43973321,447991414,cruces,2
364,882,43976763,447990364,cruces,2
365,882,43965486,447993671,cruces,22
366,882,43961293,447994952,cruces,28
367,882,43956165,447996536,cruces,30
368,882,43944617,447995083,cruces,46
369,882,43944606,447995081,cruces,46
370,883,43964601,447987846,cruces,1
371,883,43965486,447993671,cruces,15
372,883,43967577,447998991,cruces,29
373,883,43970283,448001228,cruces,37
374,883,43975704,448004024,cruces,41
375,884,43974865,447993417,cruces,2
376,884,43970283,448001228,cruces,24
377,884,43967415,448006309,cruces,42
378,884,43964101,448010649,cruces,42
379,885,43959929,448004676,cruces,
380,885,43964035,448001715,cruces,
381,885,43967577,447998991,cruces,
382,889,43953180,448036089,cruces,3
383,889,43919680,448048068,cruces,23
384,890,43959354,448012731,cruces,3
385,890,43949448,448019692,cruces,11
386,890,43946005,448017994,cruces,17
387,890,43938321,448022846,cruces,25
388,890,43940983,448031288,cruces,27
389,891,43962673,448024375,cruces,2
390,891,43952054,448023505,cruces,22
391,891,43940983,448031288,cruces,38
392,894,44609973,447979185,cruces,4
393,895,44564741,447973351,cruces,2
394,895,44565193,447992719,cruces,10
395,895,44565563,448022683,cruces,12
396,896,44596162,448001060,cruces,3
397,896,44595252,448013439,cruces,9
398,898,44565728,448031845,cruces,2
399,898,44565728,448031845,cruces,2
400,898,44576233,448031544,cruces,4
401,898,44597510,448030935,cruces,12
402,898,44624381,448027485,cruces,16
403,898,44644749,448020662,cruces,30
404,898,44645108,448020613,cruces,30
405,898,44658944,448019071,cruces,30
406,898,44658944,448019071,cruces,30
407,899,44561621,448024093,cruces,1
408,899,44565563,448022683,cruces,1
409,899,44601912,448021475,cruces,9
410,899,44620117,448019096,cruces,9
411,899,44645184,448020825,cruces,13
412,899,44645108,448020613,cruces,13
413,900,44167890,448304669,cruces,4
414,900,44715547,446908416,cruces,12
415,900,44711635,446919242,cruces,12
416,900,44708819,446926481,cruces,12
417,900,44707721,446929648,cruces,12
418,900,44706979,446931787,cruces,12
419,900,44698813,446946849,cruces,12
420,900,44816679,447964112,cruces,12
421,900,44815859,447965013,cruces,12
422,900,44167288,448298121,cruces,12
423,900,44167288,448298121,cruces,12
424,903,44624695,448029785,cruces,1
425,904,44658944,448019071,cruces,1
426,904,44658944,448019071,cruces,1
427,908,44620631,448004218,cruces,3
428,908,44620117,448019096,cruces,9
429,910,44575129,447992408,cruces,4
430,912,43956590,446755220,cruces,1
431,912,43959683,446755808,cruces,1
432,912,43959683,446755808,cruces,1
433,912,43925277,446755023,cruces,31
434,912,43934081,446754993,cruces,31
435,912,43916330,446744279,cruces,77
436,912,43916327,446735735,cruces,101
437,912,43916328,446727024,cruces,123
438,912,43916328,446727024,cruces,123
439,913,43954159,446744514,cruces,1
440,913,43934187,446744353,cruces,27
441,913,43925297,446744322,cruces,37
442,913,43916330,446744279,cruces,55
443,915,44835264,447583126,cruces,1
444,915,44832222,447597314,cruces,13
445,915,44830514,447617999,cruces,31
446,917,44066510,447271669,cruces,1
447,917,44073095,447274312,cruces,1
448,917,44079335,447270751,cruces,1
449,917,44074467,447270930,cruces,1
450,917,44073781,447267582,cruces,1
451,917,44051373,447269613,cruces,3
452,917,44051373,447269613,cruces,3
453,917,44057236,447272716,cruces,3
454,917,44040169,447274104,cruces,11
455,917,44040169,447274104,cruces,11
456,917,44048161,447273740,cruces,11
457,917,44048161,447273740,cruces,11
458,917,44045305,447264204,cruces,11
459,917,44031007,447274295,cruces,13
460,917,44012316,447278679,cruces,23
461,917,44012316,447278679,cruces,23
462,917,43997020,447283959,cruces,27
463,917,43978613,447280870,cruces,35
464,917,43978613,447280870,cruces,35
465,917,43981276,447293927,cruces,35
466,917,43974288,447286219,cruces,37
467,917,43976763,447290928,cruces,37
468,917,43958913,447297314,cruces,47
469,917,43934165,447313867,cruces,61
470,917,43934165,447313867,cruces,61
471,917,43932033,447310451,cruces,61
472,918,44053764,448027163,cruces,2
473,918,44058446,448033039,cruces,8
474,919,45010024,447941014,cruces,1
475,919,45027203,447929158,cruces,1
476,919,45041226,447927289,cruces,3
477,919,45054321,447917829,cruces,25
478,921,45089325,448034023,cruces,1
479,921,45096294,448029644,cruces,5
480,923,43636695,447334144,cruces,2
481,924,43632082,447331953,cruces,1
482,924,43624932,447323857,cruces,11
483,925,43641187,447306396,cruces,2
484,925,43638594,447323549,cruces,10
485,926,43628668,447299999,cruces,42
486,927,43588390,447282268,cruces,20
487,927,43594648,447283540,cruces,20
488,927,43600886,447285148,cruces,20
489,927,43611596,447286117,cruces,20
490,928,43690076,447286248,cruces,4
491,928,43685281,447290864,cruces,4
492,929,43861045,447372546,cruces,6
493,930,43861973,447358526,cruces,7
494,935,43954418,448051898,cruces,1
495,935,43963486,448052650,cruces,11
496,936,44015615,448352494,cruces,16
497,944,43955504,448141405,cruces,13
498,944,43937977,448136492,cruces,29
499,944,43895793,448102368,cruces,47
500,944,43895793,448102368,cruces,47
501,944,43895793,448102368,cruces,47
502,944,43895793,448102368,cruces,47
503,944,43895793,448102368,cruces,47
504,944,43895793,448102368,cruces,47
505,944,43871981,448080864,cruces,63
506,944,43829903,448066033,cruces,79
507,944,43803133,448066236,cruces,91
508,944,43796088,448066915,cruces,93
509,944,43788158,448067793,cruces,95
510,944,43651673,448047681,cruces,101
511,944,43651654,448047673,cruces,101
512,944,43769297,448073674,cruces,101
513,947,44394106,447345777,cruces,2
514,947,44394106,447345777,cruces,2
515,947,44388626,447365799,cruces,10
516,948,44388626,447365799,cruces,4
517,948,44406166,447358657,cruces,8
518,949,44413607,447376262,cruces,2
519,949,44428788,447404167,cruces,56
520,951,44430385,447409648,cruces,11
521,951,44430385,447409648,cruces,11
522,951,44431285,447413227,cruces,11
523,951,44429996,447438503,cruces,39
524,951,44456685,447488356,cruces,93
525,952,44426940,447382307,cruces,2
526,952,44441334,447383924,cruces,14
527,952,44449651,447390604,cruces,22
528,952,44453153,447397158,cruces,22
529,954,44427585,447392812,cruces,1
